lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
-122.75,42.25,69,42.33705819,-122.8681372,United States,USA,Northern America,Northern America,Medford,Medford,91010.15165,1
-119.75,34.25,5,34.42766353,-119.7436927,United States,USA,Northern America,Northern America,Santa Barbara,Santa Barbara,114753.1502,1
-118.25,34.75,32,34.58484845,-118.1317197,United States,USA,Northern America,Northern America,Palmdale,Palmdale; Lancaster,277181.2072,1
-109.75,31.25,87,31.32348558,-109.5418429,Mexico;United States,MEX; USA,Latin America and the Caribbean,Central America,Agua Prieta,Agua Prieta,97910.77356,1
-106.75,32.25,147,32.31146516,-106.7696567,United States,USA,Northern America,Northern America,Las Cruces,Las Cruces,64074.67851000001,1
-106.25,28.75,111,28.65844574,-106.0883967,Mexico,MEX,Latin America and the Caribbean,Central America,Chihuahua,Chihuahua,794324.2375,1
-103.25,25.75,126,25.55055601,-103.4327176,Mexico,MEX,Latin America and the Caribbean,Central America,Torreon,Torreon; Gómez Palacio; Ciudad Lerdo,1038510.055,2
-103.25,25.75,130,25.52952813,-103.2362207,Mexico,MEX,Latin America and the Caribbean,Central America,Matamoros,Matamoros,51266.23645,2
-102.75,20.75,100,20.81708737,-102.756514,Mexico,MEX,Latin America and the Caribbean,Central America,Tepatitlán,Tepatitlán,74742.58557000001,1
-99.75,16.75,122,16.86769935,-99.86174779,Mexico,MEX,Latin America and the Caribbean,Central America,Acapulco,Acapulco,749405.7201,1
-99.75,17.75,136,17.55045749,-99.5044199,Mexico,MEX,Latin America and the Caribbean,Central America,Chilpancingo,Chilpancingo,208309.4565,1
-98.75,20.25,175,20.10032189,-98.73929389,Mexico,MEX,Latin America and the Caribbean,Central America,Pachuca,Pachuca,362581.4001,2
-98.75,20.25,174,20.05726804,-98.77496732,Mexico,MEX,Latin America and the Caribbean,Central America,Fraccionamientos del Sur,Fraccionamientos del Sur; El Huixmí; Lindavista,93051.41113,2
-98.25,34.75,328,34.61415558,-98.4360741,United States,USA,Northern America,Northern America,Lawton,Lawton,59595.52247999999,1
-97.75,25.75,245,25.84760075,-97.51104873,Mexico,MEX,Latin America and the Caribbean,Central America,Matamoros,Matamoros,467976.7132,1
-97.25,19.75,211,19.815741,-97.37181501,Mexico,MEX,Latin America and the Caribbean,Central America,Teziutlán,Teziutlán; Chignautla,96689.11444,1
-96.25,42.25,432,42.48789586,-96.38924836,United States,USA,Northern America,Northern America,Sioux City,Sioux City,77978.80623,1
