lon,lat,k1_thresh,k1_num_excedences,k2_thresh,k2_num_excedences,k3_thresh,k3_num_excedences,k4_thresh,k4_num_excedences,k5_thresh,k5_num_excedences,k6_thresh,k6_num_excedences
-122.75,42.25,302.153412,185,300.845398,450,295.85141,3433,298.098175,1717,301.320526,343,298.950012,1226
-119.75,34.25,299.716675,185,298.65100099999995,450,295.128632,3433,296.578583,1717,298.9625240000001,343,297.145508,1226
-118.25,34.75,302.947174,185,301.748688,450,297.622314,3433,299.328094,1717,302.06955,343,299.997101,1226
-109.75,31.25,307.3829350000001,185,305.76535,450,300.622894,3433,302.77298,1717,306.339966,343,303.554626,1226
-106.75,32.25,308.890381,185,307.199158,450,301.385498,3433,303.749878,1717,307.777802,343,304.758057,1226
-106.25,28.75,305.985992,185,304.615509,450,299.4454350000001,3433,301.489441,1717,305.143616,343,302.382141,1226
-103.25,25.75,310.619873,185,309.293427,450,304.238556,3433,306.305908,1717,309.784973,343,307.180542,1226
-102.75,20.75,303.744171,185,302.444275,450,298.485779,3433,299.916168,1717,302.763,343,300.622467,1226
-99.75,16.75,308.114441,185,307.375763,450,304.85379,3433,305.767029,1717,307.637817,343,306.261475,1226
-99.75,17.75,305.261932,185,304.556854,450,301.945251,3433,303.095001,1717,304.813263,343,303.54483,1226
-98.75,20.25,298.617371,185,297.703827,450,294.773438,3433,295.921021,1717,297.9850160000001,343,296.4068910000001,1226
-98.25,34.75,313.3279720000001,185,311.886993,450,305.343567,3433,308.6545720000001,1717,312.378265,343,309.639404,1226
-97.75,25.75,309.3255,185,308.487976,450,306.138397,3433,307.137177,1717,308.747894,343,307.529785,1226
-97.25,19.75,298.722473,185,297.7101140000001,450,294.468536,3433,295.573975,1717,298.067047,343,296.205231,1226
-96.25,42.25,307.140808,185,304.480316,450,299.222534,3433,300.938416,1717,305.230347,343,301.673615,1226
-91.25,14.25,306.34668,185,306.00293,450,304.742462,3433,305.287842,1717,306.130554,343,305.483307,1226
-90.75,42.75,305.237213,185,303.056519,450,298.134552,3433,299.940094,1717,303.774475,343,300.746887,1226
-88.25,15.25,304.451477,185,303.669708,450,301.4448240000001,3433,302.245514,1717,303.932281,343,302.589081,1226
-87.75,42.25,305.8586430000001,185,303.7431640000001,450,298.6729430000001,3433,300.403839,1717,304.481232,343,301.207428,1226
-85.75,42.75,303.187164,185,302.002136,450,298.1092220000001,3433,299.731781,1717,302.356628,343,300.339294,1226
-84.75,42.75,302.9541930000001,185,301.695038,450,297.987823,3433,299.6239930000001,1717,302.0780640000001,343,300.272186,1226
-84.25,33.75,310.047211,185,308.027527,450,302.512268,3433,304.274109,1717,308.681519,343,305.196045,1226
-79.75,-1.25,304.939026,185,303.991028,450,302.68225099999995,3433,303.146118,1717,304.235504,343,303.345306,1226
-79.25,44.25,301.089569,185,300.0562740000001,450,296.318573,3433,297.977051,1717,300.363556,343,298.576782,1226
-77.75,21.25,305.873596,185,305.401245,450,303.770752,3433,304.46402,1717,305.544373,343,304.746277,1226
-76.25,4.25,303.037415,185,301.918579,450,298.344147,3433,299.5552370000001,1717,302.189758,343,300.32724,1226
-75.25,7.75,307.928741,185,306.877228,450,304.5405580000001,3433,305.401672,1717,307.151978,343,305.816589,1226
-73.75,18.25,304.164368,185,303.729156,450,302.208099,3433,302.8676450000001,1717,303.886292,343,303.107117,1226
-73.25,-40.75,297.427887,185,295.163879,450,289.717041,3433,291.469238,1717,295.864105,343,292.36676,1226
-73.25,41.25,304.855499,185,303.462891,450,299.179871,3433,300.9390870000001,1717,303.8739930000001,343,301.625519,1226
-72.75,10.25,297.819641,185,297.327148,450,295.813629,3433,296.435303,1717,297.469238,343,296.695557,1226
-72.75,46.25,299.923004,185,298.961426,450,294.743378,3433,296.6864930000001,1717,299.256683,343,297.363617,1226
-71.75,-35.75,300.473389,185,299.55835,450,296.206421,3433,297.724762,1717,299.862305,343,298.3002620000001,1226
-71.25,10.25,307.612976,185,307.042694,450,305.298767,3433,306.01001,1717,307.239746,343,306.308899,1226
-69.25,9.75,304.529907,185,303.942383,450,302.024628,3433,302.757751,1717,304.129669,343,303.05423,1226
